#   d (cM)	weighted LD	    bin count
     0.561	-0.00000034	      3958771
     0.562	 0.00000002	      3956416
     0.563	 0.00000023	      3955525
     0.564	 0.00000043	      3956470
     0.565	 0.00000058	      3953928
     0.566	-0.00000007	      3955918
     0.567	-0.00000013	      3957682
     0.568	 0.00000018	      3958476
     0.569	-0.00000002	      3960443
     0.570	 0.00000005	      3955505
     0.571	-0.00000015	      3961230
     0.572	-0.00000004	      3962021
     0.573	-0.00000014	      3959964
     0.574	-0.00000000	      3960882
     0.575	 0.00000001	      3957203
     0.576	 0.00000013	      3959785
     0.577	 0.00000036	      3957310
     0.578	 0.00000002	      3959729
     0.579	 0.00000018	      3959085
     0.580	-0.00000061	      3957510
     0.581	-0.00000067	      3961878
     0.582	-0.00000028	      3961559
     0.583	 0.00000031	      3957978
     0.584	-0.00000025	      3956876
     0.585	-0.00000018	      3955514
     0.586	 0.00000002	      3953891
     0.587	-0.00000022	      3955670
     0.588	-0.00000053	      3958102
     0.589	-0.00000013	      3956503
     0.590	-0.00000022	      3954434
     0.591	 0.00000022	      3960798
     0.592	-0.00000061	      3956250
     0.593	-0.00000003	      3958024
     0.594	-0.00000000	      3959178
     0.595	-0.00000011	      3959081
     0.596	-0.00000065	      3953677
     0.597	 0.00000022	      3956211
     0.598	-0.00000012	      3956959
     0.599	-0.00000067	      3957182
     0.600	-0.00000066	      3957531
     0.601	-0.00000014	      3960120
     0.602	-0.00000053	      3951828
     0.603	-0.00000076	      3959168
     0.604	-0.00000083	      3954826
     0.605	-0.00000070	      3959290
     0.606	-0.00000032	      3955964
     0.607	-0.00000026	      3957663
     0.608	-0.00000074	      3958221
     0.609	-0.00000075	      3958819
     0.610	-0.00000034	      3955697
     0.611	-0.00000054	      3957547
     0.612	-0.00000027	      3956079
     0.613	-0.00000051	      3951840
     0.614	-0.00000053	      3959625
     0.615	-0.00000077	      3955079
     0.616	-0.00000062	      3954582
     0.617	-0.00000072	      3953629
     0.618	-0.00000040	      3956898
     0.619	-0.00000109	      3956177
     0.620	-0.00000110	      3957385
     0.621	-0.00000060	      3957621
     0.622	-0.00000042	      3958403
     0.623	-0.00000041	      3957940
     0.624	-0.00000051	      3952199
     0.625	-0.00000086	      3958634
     0.626	-0.00000067	      3958094
     0.627	 0.00000004	      3959994
     0.628	-0.00000005	      3956560
     0.629	-0.00000014	      3958365
     0.630	-0.00000008	      3960677
     0.631	 0.00000010	      3955079
     0.632	 0.00000020	      3953037
     0.633	 0.00000021	      3953679
     0.634	-0.00000002	      3959703
     0.635	-0.00000001	      3955557
     0.636	-0.00000024	      3956992
     0.637	-0.00000029	      3955335
     0.638	-0.00000045	      3956044
     0.639	-0.00000014	      3955373
     0.640	 0.00000011	      3957616
     0.641	 0.00000024	      3953636
     0.642	 0.00000036	      3952876
     0.643	-0.00000030	      3955899
     0.644	-0.00000022	      3956541
     0.645	-0.00000015	      3955267
     0.646	-0.00000076	      3958188
     0.647	-0.00000076	      3957240
     0.648	-0.00000096	      3954271
     0.649	-0.00000010	      3956143
     0.650	-0.00000079	      3959634
     0.651	-0.00000080	      3959853
     0.652	-0.00000047	      3953540
     0.653	-0.00000068	      3950337
     0.654	-0.00000002	      3953002
     0.655	-0.00000030	      3952183
     0.656	-0.00000044	      3957557
