#   d (cM)	weighted LD	    bin count
     0.337	 0.00000326	      3981953
     0.338	 0.00000278	      3985415
     0.339	 0.00000279	      3985713
     0.340	 0.00000270	      3984573
     0.341	 0.00000279	      3985350
     0.342	 0.00000297	      3987406
     0.343	 0.00000286	      3982073
     0.344	 0.00000285	      3985778
     0.345	 0.00000290	      3986216
     0.346	 0.00000333	      3984136
     0.347	 0.00000375	      3982480
     0.348	 0.00000360	      3984776
     0.349	 0.00000235	      3984546
     0.350	 0.00000290	      3979062
     0.351	 0.00000283	      3984493
     0.352	 0.00000209	      3987164
     0.353	 0.00000181	      3978565
     0.354	 0.00000251	      3981851
     0.355	 0.00000288	      3983081
     0.356	 0.00000234	      3981813
     0.357	 0.00000242	      3986552
     0.358	 0.00000242	      3986300
     0.359	 0.00000239	      3982465
     0.360	 0.00000212	      3984680
     0.361	 0.00000184	      3986524
     0.362	 0.00000217	      3981439
     0.363	 0.00000244	      3986027
     0.364	 0.00000221	      3986514
     0.365	 0.00000231	      3986956
     0.366	 0.00000197	      3986517
     0.367	 0.00000223	      3983350
     0.368	 0.00000251	      3987627
     0.369	 0.00000253	      3986596
     0.370	 0.00000237	      3977738
     0.371	 0.00000184	      3986735
     0.372	 0.00000159	      3983984
     0.373	 0.00000237	      3984034
     0.374	 0.00000233	      3982065
     0.375	 0.00000197	      3980950
     0.376	 0.00000237	      3982677
     0.377	 0.00000230	      3979819
     0.378	 0.00000201	      3984775
     0.379	 0.00000221	      3982989
     0.380	 0.00000123	      3985014
     0.381	 0.00000180	      3985426
     0.382	 0.00000194	      3987091
     0.383	 0.00000153	      3981323
     0.384	 0.00000112	      3980830
     0.385	 0.00000137	      3983845
     0.386	 0.00000169	      3984339
     0.387	 0.00000159	      3979678
     0.388	 0.00000110	      3980751
     0.389	 0.00000145	      3986861
     0.390	 0.00000123	      3983229
     0.391	 0.00000118	      3978486
     0.392	 0.00000054	      3979118
     0.393	 0.00000067	      3982655
     0.394	 0.00000071	      3979897
     0.395	 0.00000086	      3980189
     0.396	 0.00000039	      3984490
     0.397	 0.00000001	      3979755
     0.398	 0.00000042	      3978329
     0.399	 0.00000070	      3983994
     0.400	 0.00000072	      3984952
     0.401	 0.00000165	      3981779
     0.402	 0.00000142	      3983202
     0.403	 0.00000099	      3980894
     0.404	 0.00000166	      3980013
     0.405	 0.00000158	      3981147
     0.406	 0.00000108	      3981962
     0.407	 0.00000174	      3983087
     0.408	 0.00000166	      3980922
     0.409	 0.00000154	      3981858
     0.410	 0.00000164	      3983052
     0.411	 0.00000140	      3981382
     0.412	 0.00000092	      3984544
     0.413	 0.00000192	      3980707
     0.414	 0.00000129	      3988395
     0.415	 0.00000119	      3980787
     0.416	 0.00000141	      3980849
     0.417	 0.00000132	      3979598
     0.418	 0.00000112	      3983282
     0.419	 0.00000132	      3981617
     0.420	 0.00000106	      3982180
     0.421	 0.00000069	      3981562
     0.422	 0.00000054	      3978906
     0.423	 0.00000079	      3980044
     0.424	 0.00000069	      3979035
     0.425	 0.00000045	      3983211
     0.426	 0.00000040	      3977908
     0.427	 0.00000098	      3981350
     0.428	 0.00000056	      3981024
     0.429	 0.00000089	      3982531
     0.430	 0.00000033	      3981782
     0.431	 0.00000088	      3978801
     0.432	 0.00000018	      3981391
     0.433	 0.00000051	      3982536
     0.434	 0.00000022	      3977076
     0.435	 0.00000007	      3976794
     0.436	-0.00000037	      3981848
     0.437	 0.00000030	      3980814
     0.438	 0.00000033	      3984132
     0.439	 0.00000058	      3982845
     0.440	 0.00000109	      3977694
     0.441	 0.00000122	      3980349
     0.442	 0.00000034	      3980348
     0.443	 0.00000090	      3982401
