#   d (cM)	weighted LD	    bin count
     0.329	 0.00000452	      3995175
     0.330	 0.00000375	      3989636
     0.331	 0.00000349	      3991051
     0.332	 0.00000390	      3992482
     0.333	 0.00000423	      3992732
     0.334	 0.00000358	      3991234
     0.335	 0.00000336	      3995493
     0.336	 0.00000288	      3990386
     0.337	 0.00000322	      3986367
     0.338	 0.00000282	      3990932
     0.339	 0.00000354	      3990183
     0.340	 0.00000340	      3988119
     0.341	 0.00000266	      3991382
     0.342	 0.00000321	      3992237
     0.343	 0.00000315	      3987203
     0.344	 0.00000313	      3990011
     0.345	 0.00000354	      3988560
     0.346	 0.00000292	      3992456
     0.347	 0.00000302	      3987990
     0.348	 0.00000314	      3992144
     0.349	 0.00000302	      3991973
     0.350	 0.00000278	      3987618
     0.351	 0.00000312	      3989862
     0.352	 0.00000354	      3990445
     0.353	 0.00000308	      3986470
     0.354	 0.00000230	      3987873
     0.355	 0.00000247	      3987432
     0.356	 0.00000250	      3988049
     0.357	 0.00000259	      3988520
     0.358	 0.00000216	      3989306
     0.359	 0.00000301	      3990000
     0.360	 0.00000239	      3987892
     0.361	 0.00000264	      3990722
     0.362	 0.00000334	      3990291
     0.363	 0.00000277	      3990628
     0.364	 0.00000295	      3985793
     0.365	 0.00000287	      3988337
     0.366	 0.00000223	      3986868
     0.367	 0.00000254	      3987385
     0.368	 0.00000282	      3989129
     0.369	 0.00000258	      3989118
     0.370	 0.00000267	      3987143
     0.371	 0.00000282	      3992183
     0.372	 0.00000273	      3988673
     0.373	 0.00000261	      3990816
     0.374	 0.00000205	      3994608
     0.375	 0.00000193	      3993647
     0.376	 0.00000194	      3990902
     0.377	 0.00000145	      3990980
     0.378	 0.00000174	      3989001
     0.379	 0.00000190	      3986013
     0.380	 0.00000189	      3987994
     0.381	 0.00000142	      3988958
     0.382	 0.00000181	      3989083
     0.383	 0.00000169	      3989780
     0.384	 0.00000229	      3989237
     0.385	 0.00000268	      3991931
     0.386	 0.00000133	      3987233
     0.387	 0.00000154	      3988670
     0.388	 0.00000245	      3991932
     0.389	 0.00000218	      3989303
     0.390	 0.00000190	      3990119
     0.391	 0.00000228	      3990981
     0.392	 0.00000228	      3987651
     0.393	 0.00000235	      3988475
     0.394	 0.00000267	      3987518
     0.395	 0.00000205	      3989233
     0.396	 0.00000168	      3988118
     0.397	 0.00000168	      3989098
     0.398	 0.00000171	      3985642
     0.399	 0.00000153	      3983349
     0.400	 0.00000151	      3987269
     0.401	 0.00000181	      3986799
     0.402	 0.00000169	      3986143
     0.403	 0.00000200	      3990073
     0.404	 0.00000222	      3989818
     0.405	 0.00000224	      3987181
     0.406	 0.00000174	      3988275
     0.407	 0.00000145	      3987218
     0.408	 0.00000107	      3986879
     0.409	 0.00000106	      3990459
     0.410	 0.00000085	      3987521
     0.411	 0.00000096	      3990716
     0.412	 0.00000114	      3988380
     0.413	 0.00000076	      3985651
     0.414	 0.00000147	      3987517
     0.415	 0.00000093	      3985978
     0.416	 0.00000138	      3982653
     0.417	 0.00000160	      3989707
     0.418	 0.00000096	      3988386
     0.419	 0.00000119	      3986548
     0.420	 0.00000153	      3984723
     0.421	 0.00000148	      3984752
